sentiment,content
Positif,bagus sekali
Negatif,titik tuju penjembutan terkadang tidak sama tidak adaminta tolong dong lebih benahi kualitas mapnya
Positif,trimakasih pelayanan ramah dn menyenangkan
Positif,driver ramah baik
Positif,pak sopirnya sangat ramah saya sangat senang trimakasih
Positif,ramah nyaman
Negatif,driver mobilnya sombong semua cuk menolak orderan tidak rekomendad banget auto uninstall aplikasi banyak aplikasi driver mobil lebih bagus pelayanannya
Positif,responya cepat
Positif,terima kasih iya mas
Positif,lebih murah terjangkau
Negatif,masalah map ga lengkap teratasi nambah masalah tarif masa iya ada sistem masa tunggu berbayar consumen bahkan dibebani biaya driver lama nyampe kenapa pelanggan suruh bayar tambahan udh nunggu disuruh bayar kan aneh anehh iya kalau dapat driver deket lah dapat driver jauh bahkan dapat driver lbh deket titik pengantaran
Positif,ok banget puas
Positif,saya sangat puas pelayanan abng ahmad saipul thank bang
Negatif,jelek gak jelas loadingnya lama benar
Positif,layanan nyaman puas semoga berkembang kedepan
Positif,sangat membantu sekali
Positif,driver baik
Positif,baik skali
Positif,saya sangat berterimakasih kepada pengemudinya sangat ramah sopan
Positif,kurir terbaik
Negatif,musibah ban bocor
Positif,terimakasih layanan sangat cepat
Positif,pelayanan driver sangat baik
Positif,terima kasih banyak krna drivernya sopan ramah sekali
Positif,pelayanan baik
Positif,gercep walau ujan tetap jalan lebih ekonomis biaya
Positif,drivernya baik banget
Positif,bagus cepat tepat terimkasih
Positif,baik banget mas ramah jujur tepat waktu
Negatif,maxim bagus harga murah terjangkau sayang disaat order susah banget cari titik mapsnya tidak otomatis masuk dititik lokasi disaat order banyak kumpul tidak diambil orderannya sekali diambil tiba² dicancel dioper lain dicancel susah dapatnya lebih diperbanyak promoannya dong he tolong diperbaiki kak terimakasih
Positif,pesanan
Negatif,tolong buat aplikasi maxim penumpang perbaikilah maps maxim akurat benar
Positif,respon cepat
Negatif,bingung mau laporan customer service mana ijin lapor min kejadian semarang istri saya barusan dapat driver maxim car aneh ketika menuju stasiun si driver minta cancel orderan sang driver bahkan belok kejalan bukan arah stasiun saya sertakan akun driver beserta plat mobilnya mohon ditindak driver bernama panji utomo daihatsu sigra hitam nopol h qz
Positif,bagus sangat ramah
Positif,pelayanan bagus orang ramah
Positif,mantap sekali
Negatif,saya isi kaspro saldonya ga masukpdhl potong bank
Positif,sangat memuaskan
Negatif,kenapa maxim susah mau msuk diaplikasi
Positif,sangat memuaskan terimakasih
Positif,pelayanannya sangat baikbagusjujurramahsopan santun
Positif,sejauh sangat terbantu harga ramah dikantong minta tolong iya diorderannya ditampilkan tanggalbulan tahun kalu misal meeting mau reimburst direceiptnya gak ada tanggal terimakasih
Positif,mantap pelayanan ramah
Positif,terima kasih supportnya mas driver ramah
Positif,bapaknya ramah lancarkan rezekinya pak
Positif,sangat baik ramah
Positif,saya sangat puaslayananny cepat
Positif,bagus cepat
Positif,terimakasih iya pa
Positif,drever sopan
Positif,sangat memuaskan
Negatif,sering jauhkan lokasi tujuan caci maki drivermembawa motor ugalan turunkan padasaat jalan
Positif,diver sangat baik
Positif,terimakasih maxim harga murah pelayanan baik
Positif,driver sangat tpt waktu
Positif,driver ramah
Positif,drivernya bagus
Positif,semoga sehat selalu
Positif,pelayanannya bagus
Positif,nyaman cepat respon
Positif,baik sekali
Positif,lancar rezekix abang
Positif,sangat membantu butuh cepat malas berkendara
Positif,sangat baik ramah
Positif,abang maximy ramah terimakasih diantar kan transmart
Positif,baikk memuaskan
Positif,bagus cuman tolong lengkapi suratx terutama simnya
Positif,tepat waktu baik pealyanan driver
Positif,pelayanannya ramah
Positif,mantab pelayanan cepat dn ramah sukses selalu pakde
Negatif,pengemudinya tidak mau masuk gang
Negatif,maxim membantu banget benarbenar praktis layanannya juga bervariasi bantu banyak cuma minusnya aku buat belibeli makanan ga udh beberapa kali uninstall tetep gabisa muncul layar putih doang selebihnya sih mantapp
Positif,murah ramah lingkungan
Positif,murah cepat
Negatif,aplikasi busuk isi kaspro ga real time hangus uang sisa sia
Negatif,mohon dikonfirmasi saya top up maxim wallet ttp tidak muncul bila saya rubah rating
Positif,bagus pelayanannya
Positif,driver ramah mantap
Negatif,motor bagus banget hemat mobil saya nunggu hampir menit lebih ga dapat padahal banyak driver sekitar kalau gamau ambil iya matiin ajh aplikasi
Positif,drivernya baik hati
Positif,drivvernya ok ramah baik terima kasih driver baik
Positif,bagus pengantarnya
Positif,tetap semangat bang
Positif,driver sopan baik
Positif,orang nye asik baik ramah
Positif,bagus pelayanannya
Positif,sopir rama mobilnya wangibersih
Positif,sangat baik mengantar hatihati sampai tujuan
Positif,driver ramah nyaman cara berinteraksinya
Positif,gaspool terus brader semangat
Positif,smg aplikasinya lebih ditingkatkan biar leboh mudah digunakan
Positif,terimakasih sampai selamat
Positif,mantap suruh gaspol
Positif,kalau mengikuti arahan penumpangbiar cepat sampaikalau map memusingkanterima kasih mengantar selamat
Positif,perjalanan delivery hemat
Positif,nganter amanah ramah plus hati hati
Negatif,cepat ramah cuma keakuratan titik penjemputan terkadang tidak pas
Positif,penjemputan cepat rama profesionalbaik dalam berkedara
Positif,sukses buat bapak driver
Positif,driver bagus
Positif,terima kasih banyak paman
Negatif,diaplikasi harga rp sopir mintak rp bandara hangnadim taras dekat gak sampai menit
Negatif,drivernya kalau dapat oderan malam selalu ngancem castamer daerah jatiasih sekitarnya mau ramein sama driver maxim sampai mau ramein rumah castamer tolong pusat maxim tindak lanjutin daerah jatiasih sekitarnya
Negatif,saya merasa aplikasi sangat susah buka terkadang harus menunggu menit baru buka
Negatif,susah cari driver lama nunggunya males
Positif,terimakasih pak ojol perjalanan sangat nyaman sekali
Negatif,kode otp tidak muncul aneh bin tolol
Positif,terima kasih kasih kak
Positif,tepat waktu drivernya ramah
Positif,drivernya selalu berkendara hati hati penampilan driver bersih wangi
Positif,sopancepat respon
Positif,orang ramah
Negatif,titik lebih akurat kan dong
Positif,mas baik sopan trmksh
Positif,bagus cepat mengutamakan kemanan kecepatan standar
Positif,mantap maxim joss
Positif,gercep walaupun ujan juga c aa ramah sopan
Positif,membantu banget murah
Positif,order dipenuhi saryono toyota calya warna jingga nopol bpmf terima kasih atas perjalanan rating
Positif,drivernya sabar baik bangett terima kasih
Negatif,saya salah alamat tujuan saya sda diantar sampai alamat sebenarnya
Positif,pelayanannya ok baik
Positif,aplikasi ojek terbaik gojek gajelas mencari driver sejam
Positif,terima kasih mengembalikan barang tertinggal mohon maaf sebelumnya
Positif,pelayanan bagus
Positif,aplikasi bagus membantu mempercepat perjalanan
Positif,baik dn ramah
Positif,terima kasih kakak
Positif,memuaskan l driver tahu jalan driver ramah perjalanan aman nyaman pokok top markotop pertahankan bintang
Positif,sopan sekaliiii
Negatif,saya jarang pakai ojol sekalinya butuh paling pertama diunduh maxim app ringan sangat mudahh sekali ojol menurut aku drivernya ramah² kekurangnnya sulit buat rating driver kalau selesai riwayat orderanya langsung hilang terus disini kekurangan payment gak kasih tip secara online driver trus riwayat ngobrol sama driver langsung hilang semoga lebih baik kedepannya
Positif,terimakasih banyak pak mau antar pas cuaca pas hujan sehat sehat lancar orderan
Negatif,alamat muncul kurang lengkap
Positif,terima kasihsudah dibantu
Positif,sangat baik drivernya ramah
Positif,sangat membantu
Positif,driver ramahbaiksopan
Negatif,order tidak mau dibatalkan suruh mindahin alamat doang aplikasi rusak banyak bug
Positif,layan bagus
Positif,mulai penjemputan sampai rumah ok
Positif,aplikasi sangat membantu
Positif,baikk banget mau mencari kosku ramah
Positif,suka pelayananyaterimakasih
Negatif,semoga kedepannya maxim lebih baik lagisoalnya saya now watching isi saldo tidak hru bayar tunai
Negatif,susah dapat driver
Positif,sangat memuaskan pelayanan ramah
Positif,cepat amanah
Positif,membantu aktifitas tiap hari saya puas pelayananya
Positif,terpercaya amanah
Negatif,maps ga lengkap
Positif,supirnya ramah pokoknya good deh
Positif,sangat memudahkan fast respon
Negatif,saya top up kaspro kok ga masuk iya saldonya padahal dimutasi masuk tidak ada cs juga
Positif,bawa mobilnya nyaman supirnya ramah
Positif,mase buaaik ramah mntap pokok e
Positif,terimakasih pak semoga lancar orderan
Positif,bagus milih jalan alternatifnya
Positif,semuanya baik sehat sukses selalu
Positif,bagus sekali
Positif,driver ramah menjaga keselamatan penumpang
Positif,terima kasih pakhati jalan
Positif,driver baik ramah
Positif,pelayanan mantap
Positif,cepat sampai tujuan
Positif,sangan membantu harga terjangkau
Positif,sangat membantu
Positif,bagus baik orderannya nyaman pokoknya
Positif,sangat membantu pelajar
Positif,alhamdulillah cepat respon ramah
Positif,bawaannya santai ramah
Positif,pelayanannya sangat sopan memuaskan
Positif,ramah sekali
Positif,langganan tiap hari yaaa murah anjayy
Negatif,tolong tingkatkan
Negatif,sangat tidak worth it masa iya siang driver tidak ada kembalian uang ada tidak menggunakan seragam maxim saya kecewa berkali kali kena maxim
Positif,pik oke semua
Positif,ramah baik sopan
Negatif,motornya maxim ok kalau mobil harganya hampir sama kaya grab terus kadang mobilnya tuatua gitu kadang ada kotor banget kalau cari buat naik mobil susahnya minta ampun padahal lumayan cukup tinggi perlu memakan waktu banyak mencari pengemudi mau mengambil disarankan kalau penumpang buruburu tidak memesan maxim
Positif,harga terjangkau pengemudi ramah cepat sampai tujuan
Negatif,top up sulit sekali setelah top up dana tidak langsung masuk astaga
Positif,sangat baik dalam pelayanan sangat nyaman
Positif,puas cepat
Positif,bagus sekali
Negatif,aplikasi gak jelassuruh verifikasi munculnya gambar gak selesai selesai pdhl posisi terlanjur burumalah sedang apa gak jelas
Positif,sopirnya cepat respon
Positif,perjalanan lancar drivernya humble
Positif,pelayanan baik driver ramah mobil ok
Positif,membantu banget dikala musim hujan selama menggunakan jasa transport online top deh pelayanannya
Positif,ok mantap cepat sampai ketujuan
Positif,sangat memuaskan
Positif,sangat berpengalaman badan fress
Negatif,nunggu driver lama kendaran tidak terawat nomor polisi juga lama mati atribut kayak baju pengemis driver juga beda tidak patuh rambu lalulitas perempatan suka ngebut mantan pembalap liar driver sngat tidak mngutamakn keamanan knyamanan pelanggan
Positif,baik orang
Negatif,map susah
Positif,aplikasi ojek bagus baik
Positif,lancar rezeki ny bang
Positif,trimakasih antar sampai tujuan
Negatif,tolonglah driver maxim kalau makan apalah matiin aplikasinya kaya gini saya nunggu divernya taunya makan kan kaya gini saya dibuat terlambat kerja
Positif,terima kasih bapakkata anak saya diajak ngobrol seru bapak nyasehat selalu iya bapak amanah kerja lancar juga rezeki nyaaamiin
Positif,driver baik ramah terimakasih
Positif,sangat bagus mudah
Positif,aplikasi sangat membantu harga terjangkau driver ramah sekali pokoknya the best lah
Positif,order dipenuhi tobias lado motorcycle warna merah nopol dhkt terima kasih atas perjalanan rating
Positif,bapak baik sabar
Positif,baik ramah semoga lancar iya pak semangat terus
Positif,mudah kalau butuh langsung
Positif,satset ramah
Positif,ridernya baik faham jalur jalan kealamat serta mengutamakan keselamatan
Positif,sopir mau repotin antar orang tua tanpa hp pendamping bermodal kopelan alamt tujuan no hp tjuan aktif orang tua ku smpai tujuan selamat terima kasih
Positif,terimakasih drivernya rama
Positif,pelayanannya sangat baikbagusjujur
Negatif,maxim bagus pembayaran tunai tidak wallet kaspro sumpah uangku selalu hilang kaspro ada sampai dia ambilnya setengah nyesel banget pakai kaspro tolong dong adminnya kenapa harus mencuri uang orang sih
Positif,sangat memuaskan
Positif,baik ramah sopan
Positif,aplikasi mantap krna aplikasi transportasi ku lbih mudahtrima ksih saya ucapkan kepada pihak maxim
Positif,driver sopan ramah
Negatif,maxim bagus apk tolong demi kenyamanan bersama perbaiki titik lokasi driver suka marah sama saya titik tidak ujung ujungnya saya harus memberi biaya tambahan tidak titik
Positif,sangat baik ramah saya suka
Positif,drivernya bagus
Positif,baik sopan
Positif,aplikasi transportasi sangat bagus
Positif,orderan cepat pelayanan ramah
Positif,sangat baik memuaskan
Positif,waktu panggil cukup cepat suatu kelebihan
Negatif,terbilang murah tetapi isi wallet kaspro tidak pakai pembayaran non tunai maxim aneh sekali terus gunanya wallet kaspro buat apa
Negatif,tolong dong min tindak lanjutin kenapa saya bahkan dapat driver uda saya rating bermasalah
Positif,aplikasi sangat berguna
Positif,supir sangat jujur harga tertera
Positif,sngt mmbntu dlm prjlnan hemat
Positif,bagus sekali
Positif,pengendara ramah familier
Positif,driver baik ramah
Positif,pelayanan bagus
Positif,pokoknya mantapbawa motornya enak sefty
Positif,pengemudi ramahe poooltrimaksih pak sopir
Negatif,tolong donk maxim kalau nerima driver tuh pilih dl kendaraany jngn mentang mentang ongkos murah kendaraan driver kebanyakn udh ga layak dinaikin customerbikin terlambat kerja
Positif,sangat memuaskan
Positif,pengemudi sangat memuaskan
Positif,pengantaran cepat tepat waktu pelayanan
Positif,sangat baik pelayanan
Positif,nuhun sangat a punten tos salah alamat mantap sangat sehat selalu cing ageng rezeki na a
Positif,driver sangat sopan jaga keselamatan
Negatif,maps membingungkan
Positif,datang tepat waktu
Positif,terima kasih mas minestonenya
Positif,cepat aman drivernya ramah baik
Positif,sulit mencari driver kalau dapat driver cukup jauh
Negatif,aneh deal awal argo rb pas sampai rb ga lagi²
Positif,drivernya ramah aplikasi trma ksh bang ojol
Negatif,baru coba sekali pesan harga diaplikasi sm ditagihnya lain lebih mahal kapok uninstall
Positif,ok lah ramah nyaman dn cepat
Positif,ramah cepat cari jalur tidak macet
Positif,orangnya tetap waktu sangat membantu
Positif,tetap mjd terbaik dlm melayani konsumensukses sllu maxim
Positif,terimakasih driver baik ramah
Positif,aplikasi lebih murah hijau
Positif,tepat waktu paham rute baik
Positif,bagus pelayanan cepat driver ramah
Positif,mudah cepat tanggappp
Positif,kecepatan waktu penjemputan drivernya ramah
Positif,sopir ramah
Positif,mantapmurah biayanya
Negatif,baik sih cm apapun rutenya harusnya legowo berjuang jangan ngedumel dulu jalan sempitlah bnyak kelok lah padahal siap bayar lebih itudan jalan sering dilalui car online
Positif,terima kasih kasih pak atas keramahan ketepatan dalam penjemputan pertahankan terus
Positif,terima kasih maxim
Negatif,jelek banget map gak kaya aplikasi lain kalau masalah harga emang lebih murah map tolong perbaiki
Positif,aplikasinya mantap
Negatif,ada pilihan pembayaran tidak pakai qris
Positif,driver iya sangat ramah sopan baik
Positif,bagus pelayanan
Positif,pelayanan bagus
Positif,ramah cepat sampai tujuan
Positif,keren drivernya
Negatif,eror menghubungkan layanan terus
Positif,sangat puas ramah
Positif,good ramah sekali bapaknya
Positif,driver ramah sopan tepat waktu
Positif,bagus pelayanan
Positif,orderan tpt waktu
Positif,tepat waktu berhatihati
Positif,percoobaan dulu
Positif,barang amandianter sampai tujuan
Positif,mantap rute
Negatif,promonya menipu katanya promo membeli sesuatu nyatanya berbeda
Positif,sangat membantu
Negatif,tolong dong penyedia aplikasi dibenahi maps aplikasi biar user driver tidak kebingungan masa maps diputerin puterin pdahal pakai jalan umum dilewati orangorang
Positif,sangat membantu terimakasih
Negatif,kasih gaji layak pekerjanya
Negatif,kenapa daftar akun buat pesan ngak susah sekali daftar kayak apa daftarnya kakak
Positif,maxim terbaik pokok jelekin maxim biasa orang orang pelit aku senang pakai maxim tidak nungguin driver lama cepat banget
Positif,bawa motornya santai nyaman
Positif,cepat sampai tujuanan
Positif,pelayanan baik
Positif,sangat memuaskan sampai tepat waktu
Positif,order dipenuhi zul rafli daihatsu terios warna coklat muda nopol bpha terima kasih atas perjalanan rating
Positif,murah cepat aman
Positif,super sekali
Negatif,kok setelah masuin no hp loading terus melulu bagaimana
Positif,kakak kurirnya baik gercep
Positif,baik bangettt driver nyaaa semangat iya bang ojeggg hehee
Positif,pelayanan baik ramah
Positif,sangat baik pelayanannya saya merasa sangat terbantu semenjak menggunakan aplikasi maxim
Positif,selamat sampai tujuan
Negatif,ga jelas dibuat tujuan datang mobil aneh
Positif,driver ramah tamah
Positif,pelayanan baik atributnya lengkap keren
Negatif,segi bagus cuman update rute driver perhatikan iya kasian drivernya
Positif,driver ramah sukses selalu
Negatif,jangan gunakan aplikasi aplikasi full penipuan
Positif,pelayanan sangat bagus ramah perjalananya mengikuti permintaan pelanggan mantap deh
Positif,driver baikramahdan tepat waktu
Positif,pelayanan baik
Positif,baik ramah sekali
Positif,sangat bagus pelayanan
Positif,drivernya mantap
Positif,driver sabar baik terimakasih mas membantu keluarga saya
Positif,sangat baik ramah
Positif,alhamdulillahsopirnya amanah dlam bekerja
Negatif,harus lebih tahu banyak rute trcepat
Negatif,apk si bagus banget kadang sebel sama beberapa driver lambat bbrpa kali naik maxim bikin terlambat kerja juga alamatnya lengkap
Positif,pengemudi ramahdatang tepat waktu
Positif,mudah cepat driver sangat ramah
Negatif,maps tidak titik
Positif,orangnya ramah sosialnya sangat tinggi dijamin puas bagi kalian kalau ketemu driver kayak mbaknyamakasih mbak
Positif,sangat memuaskan terima kasih banyak
Positif,pelayanan sangat baik
Positif,sangat nyaman naik maxim
Positif,pengemudi danil motorcycle warna putih nopol bfbt selamat menikmati perjalanan rating
Positif,sangat baikbagus
Positif,pelayanannya bagus banyak bonusnya
Positif,pelayanan sangat baik sopan
Positif,terbaik tanggapan respon cepat
Negatif,gajelas potongan terlalu gede kaspro isi juga lambat bngt plus kepotong banyak
Negatif,sangat burukmau minta kode verifikasi login susah amatmana driver baukgak berkualitas
Positif,aplikasi maxim sangat membantu se x mudh cept hrga juga trjangkau smoga lncar selalu buat pra pnumpang naik lncr terus aplikasi maxim ya
Positif,baik mantap
Positif,pelayanan baik
Positif,pelayanannya sangat baikbagusjujurramahsopan santun
Positif,driver luarbiasa baik semoga sehat selalu ramai orderannya
Positif,ramah baik
Positif,sangat butuhkan
Positif,bagus sekali
Negatif,aplikasi lokasinya ga akurat keluar susah log in pokonya beda jauh sama gojek grab gampang telepon kirim poto
Positif,pelayanannya bagus
Positif,aplikasi sangat membatu
Positif,mas baik ramah
Positif,praktis murah
Positif,pelayanan memuaskan
Positif,ongkosnya lbh terjangkau dibanding lain
Positif,ramah driver
Positif,josss banget lah
Positif,mantap driver gercep hujan
Positif,sangat membantu
Negatif,aplikasi bodoh harga emang menentukan kualitas logika kalau driver dapat argo rendah yah pasti pelayanan kacau wajar sih lebih baik aplikasi sebelah deh lebih mahal sedikit pelayanan top
Positif,kurirx gercep datang tepat waktu
Positif,sangat baiksabar responsifmatur nuwun mas driver
Positif,lebih mudah murah
Negatif,tembesi batu aji seluruh batu aji batambanyak maxim monbil bawa kendara ugal ugalan tolong awasi sama cs maxim sekian masukan
Positif,cepat baik
Positif,pelayanan bagus
Positif,nyaman bawa motor gak ngebut
Positif,tepat waktu maxim oke banget
Positif,pelayanannya baik
Positif,andi hermawan motorcycle warna merah nopol bcmk tiba dalam menit rating
Positif,layanan ok ramah cepat
Positif,motornya mantap pcx
Negatif,tolong lebih profesional lagibpara pengemudi dalam merespon penumpang
Positif,terimakasih pelayanan baik
Negatif,halo saya isi wallet lewat bank bank udh berhasil gamasuk wallet gmn iya tolong dong jangan gitu
Positif,mantap driver ya ramah
Negatif,tolong segera ditambahkan pembayaran non cash belikan orang lain bayar langsung
Negatif,fitur baru maxim walletnya kurang jelas sistem update saldonya juga lama baru sehari kemudian saldo realnya muncul tidak ada riwayat saldo masuk keluar biaya adminnya pun juga ga jelas berapa kayaknya ribu lebih terlalu mahal ga worth it pakai dana kaspro maxim wallet
Positif,terima kasih iya mas
Positif,ramah baik banget
Positif,pengemudinya sigap gak menunggu terlalu lama siap jalan
Positif,datang tepat waktu satset terimakasih pak
Positif,baik sekali
Positif,sejauh wort it pakai maxim sih dibanding ijo driver lambat kalau jemput ribet maxim tinggal bang saya disini gak lama dateng driver twu jalan gak ribet
Positif,cepat sat set
Negatif,min habis update aplikasimaxim bike kok baca lewat tol murah diongkirhadeh min min
Positif,terimakasih pak hariono atas pelayanannya sungguh memuaskan recomended banget maxim pelayanan drivernya
Positif,nganterin anak sekolah setelah sampai ada laporan sampai sekolah bu terimakasih pak jrg ada driver
Positif,terima kasih banyak mengantarkan sampai tujuan selamat
Negatif,kekurangan maxim kota saya map kenapa penjahat kelamin jaman dulu nama tempat toko gedung udh g ada terganti ada maxim susah masukkan titik lokasi ga lsg otomatis penjahat kelamin non tunai arahin rute lewat jalan sempit kota saya aplikasi ojol pling bnyak gb perbandingannya semoga lbh baik berkembang aplikasi biar customer mkin nyaman
Positif,selama baik
Positif,driver sangat baik ramah penjeputan cepat bawa motornya halus sangat nyaman berkendara maxim
Positif,penjemputan cepatramah baik
Positif,ramah baik terima kasih
Positif,drivernya baikramah terimakasih
Negatif,tingkatkan sistem cashless
Positif,trimakasih nyong deng nona mnado babaku bae ee jang babakalae he sampai bakudapa ulang torang
Negatif,saya kecewa harga awal tarif ribu terus tiba ribu tanpa konfirmasi driver mengaktifkan tarif tunggu
Positif,sangat amanah sangan buat langganan he
Negatif,kok otp ga dikirim² hari ga login apk maxim
Positif,no komen deh bagus banget
Positif,alhamdulillah drivernya baik asik nyambung ajak ngobrol juga meski motor
Positif,cepataman bpak ramah
Positif,fantastis banget maxim
Positif,masya allah driver baik
Positif,sangat membantu
Positif,pelayanan driver maxim mantap jos
Positif,sangat baik pengemudi
Positif,bagus sekali sangat membantu
Positif,mksh udh antar
Negatif,ko tidak dapat notif kode iya min
Positif,driver ramah cepat waktu
Positif,driver sangat ramah
Positif,ramah cepat
Positif,drivernya sopan baik
Positif,maxim saya baru pertama pakai buat saya kagum cara pelayanan sistem aplikasi bagus jadinya memudahkan bahkan saya beru pakai maxim in langsung faham cara kerjanya respon cepat drivernya ramah ramah mantap pertahankan
Positif,terimakasih sangat membantu
Positif,terimakasih banyak maxim ada bahodopi inisangat membantu dn murceeeeee
Positif,terimah kasih hati djalan
Positif,tarif murah banget
Positif,sangat membantu ada kerjaan mendadak
Positif,baik ramah
Positif,baru pertama order abangnya baik banget order juga mudah gampang semoga kedepannya selalu baik
Positif,pelayanannya sangat bagus cepat bnget
Positif,tepat waktu ramah
Positif,nyaman dalam berkendara
Positif,sangat membantu
Positif,cepat terbaik
Positif,suka deh abangnya wangi
Positif,mantap lah pokoknya
Positif,terimakasih banyak om
Positif,cepat ramah
Negatif,driver songong² saldo maxim potong gak masuk driver udh ganti sama cs gak masuk juga kapok bnget anjirrr pke maxim
Positif,nyaman ramah
Positif,suka sama pelayanannya sngat cepat
Positif,sangat hati hati
Positif,orang ramah juga mobil rapih juga bikin nyaman
Positif,pengemudinya sangat ramah
Positif,cepat terpercaya
Positif,pengemudi ramah sopan pelayannan juga sangat bagus mantap semoga sukses slalu seluruh pengemudi maxim
Positif,driver ramah diantar sampai tujuan selamat
Positif,maasyaa allah bapak sangat ramah mengendarai sangat profesional
Positif,pelayanannya sangat baikjujurbagusramahsopan santun
Positif,sangat puas
Positif,mantap pertahankan
Positif,driver garcep amanah mantap
Negatif,aplikasi lama saya gunakan pergi transportasi sekitar jakarta harganya sangat ekonomis map driver perlu ditingkatkan
Positif,mas ojek baikbersih aman alhamdulilah
Positif,sangat memuaskan terimakasih maxim sukses selalu
Positif,pengemudi baik
Negatif,informasi management maxim driver pakai aplikasasi mana playstore ada maxim driver taxsee driver mohon petunjuk
Positif,layanan bagussupir ya juga ramah
Positif,selalu tepat wakutu mantap
Positif,kurir tepat waktu amanah jujur terbaik
Negatif,gak login anj
Positif,sikap ojol baik
Positif,pelayanannya cepat
Positif,sangat membantu
Positif,bagus sekaliiiisaya suka
Negatif,tiba tiba mesen sendiri aplikasi posisi gk dibuka mulai lebih baik
Positif,bagus cepat aman
Positif,terimakasih kakak mengantar teman saya
Positif,pengemudinya ramah
Negatif,aplikasinya bagus drivernya juga ramah baik tolong diperbaiki riwayat ordernya sering hilang padahal mau dijadikan bukti claim mohon diperbaiki mengenai terima kasih
Positif,drivernya rendah hati baik hati semoga selalu dalam lindungan allah swt
Negatif,hati oknum driver ga benar pengalaman tadi pagi saya dipaksa buat dianterin sampai rumah padahal saya pesan sampai terminal saya tetep tidak mau takut drivernya ga sopan
Positif,pelayanan sangat bagus cepat
Positif,mantap terimakasih maxim
Positif,drivernya ramah sopan
Negatif,tidak nyama kalau order maxim car order ac ga dinyalain mana kebutan driver manyun hujan ga mau agak dekat sekali pinggir harus saya nyamperin tengah jalan akhirnya ttp basahan
Positif,pengendara cepat ramah
Positif,luar biasa bukan main bukan main luar biasa
Positif,aplikasinya baguss bangett saya sukaa
Positif,tepat waktu ramah
Negatif,aplikasi tolol kaku kali pesan makanan ga pakai e wallet banyak lain
Positif,sangat membantu
Positif,trimakasih banyak iya penjahat kelamin sabar nunggu ujan redadilanjut perjalanan
Positif,trimakasih antar anak saya sampai rumah smoga bnyak rejekix bapak
Positif,nyaman cepat
Positif,mantap ramah
Negatif,tolong diperbaiki mau login ga ga dapat kode sama sekali
Positif,bagus sekali
Positif,mantap pelayanannya drivernya wangi
Positif,mengendarai sopan mobil bersih musik asik
Positif,ramah sopan cara membawa motor nyaman
Positif,ramah baik
Positif,pelayanan bagusss
Positif,sangat baik bisang segala hal prjalanan
Negatif,order makanan ga pernah ada mau mengambil aneh hampir tiap hari mau order makanan lebih baik ga perlu ada in ajah maxim food
Positif,mantap terima kasih abg semoga lancar
Negatif,jangan pernah order bandara harga menipu tidak apk nambahnya sontoloyo baiknya warna hijau deh
Positif,driver maxim atas nama anggi suryadi putra cilegon baik banget sopan santun pokoknya nyaman banget driver anggi suryadi putra
Positif,sangat baik terima kasih
Positif,sangat puas sangat propesional kerja
Positif,bagus pelayanana supirnya ramah
Positif,sangat membantu sekali
Positif,nyaman bagus
Positif,kecepatannya tinggi cepat sampai sana
Negatif,developer apa bikin aplikasi gini minum fiturfitur gitu kedepannya please update lebih jelas lengkap
Negatif,maaf perbaiki titik jemput sambungkan paling dekat biar tidak nunggu lama
Negatif,driver gamau mengambil orderan makanan
Positif,terima kasih pengemudi ramah baik
Positif,sangat membantu
Positif,mas maxim sigap sopan ramahpengiriman cepat makasiiih
Positif,driver seru tahu jalan mantap
Positif,sangat bagus sekali
Positif,terimakasih maxim driver sangat membantu
Negatif,maps kurang akurat banyak driver pakai fake lokasi driver jauh² maaf iya akhirnya saya kembali ojol sebelah
Positif,driver ramah sopan jemputnya tepat waktu
Positif,sangat ramah profesional
Positif,mksih masslmt smpe tjuan
Positif,gercep ramah terima kasih abang kurir
Negatif,loginnya sulit
Negatif,jelek login susah lama banget padahal nomor udh benar penjemputan juga kadang ngelag
Positif,sangat profesional penumpang
Negatif,saya top up maxim wallet saldo iya tidak masuk mohon bantu
Negatif,isi wallet harus nunggu berjam jam dulu baru masuk saldonya
Positif,aman nyaman tepat waktu
Negatif,tolong diperbaiki order pemesanan pengemudi tidak kunjung datang balas chat cancel smpai x dapat pengemudinya sama akhirnya pemesanan saya lakukan aplikasi lain alhamdulillah lbh cepat pengemudi sngat respon chataplikasi bodoh
Positif,drivernya ramah
Positif,pelayanan pengantaran sangat baik
Positif,drever sopan
Positif,prmilihan jalan sangat baik
Positif,supir ramah membantu
Positif,cepat tepat sopirnya ramah
Positif,terimakasih abang grebnya tepat waktu datang menjemput
Positif,terimakasih banyak sehat selalu
Positif,terima kasih mas baik banget semoga lancar rejekinya iya berkah selalu
Positif,semoga komitmen dlm pelayanan bidang jasa transportasitrimksh
Negatif,x ada bug bikin saya salah paham order maxim apknya waktu driver sampai titik pesanga selang berapa lama berangkat drivernyadari apknya tiba notif perjalanan selesai map berubah tidak jelasanehnya map tujuan berubah random terkadang dekat titik awal driver berangkat jalur berangkat apknya titik saya dijemputke titik diantar sebenarnyalalu langsung lurus titik random alamat berubah
Positif,coba dulu iya
Negatif,lama minta ampunnn driver mandi dulu lah minta tambah piti lambat ampun deh
Positif,driververnya baik ramah
Positif,mantab pokoknya
Negatif,lamaa setiap pesen lama banget dapat
Positif,sangat bagus banget
